ano,id_municipio,sigla_uf,populacao_atendida_agua,populacao_atentida_esgoto,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_atendida_agua_ibge,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto,populacao_urbana_residente_esgoto_ibge,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,quantidade_ligacao_total_agua,quantidade_ligacao_total_esgoto,quantidade_economia_ativa_agua,quantidade_economia_ativa_esgoto,quantidade_ligacao_micromedia_ativa_agua,quantidade_economia_residencial_ativa_agua,quantidade_economia_residencial_ativa_esgoto,quantidade_economia_micromedida_ativa_agua,quantidade_economia_residencial_micromedida_ativa_agua,volume_agua_produzido,volume_agua_tratada_eta,volume_agua_micromedido,volume_agua_consumido,volume_agua_faturado,volume_agua_macromedido,volume_agua_tratada_desinfeccao,volume_agua_bruta_exportado,volume_agua_tratada_importado,volume_agua_tratada_exportado,volume_agua_micromedido_economia_ativa,volume_servico_agua,volume_agua_fluoretada,consumo_eletrico_sistemas_agua,volume_esgoto_coletado,volume_esgoto_tratado,volume_esgoto_faturado,volume_esgoto_bruto_exportado,volume_esgoto_bruto_importado,volume_esgoto_importado,volume_esgoto_bruto_exportado_tratamento_importador,consumo_eletrico_sistemas_esgoto,indice_agua_ligacao,indice_hidrometracao,indice_macromedicao_volume_disponibilizado,indice_macromedicao,indice_perda_faturamento,indice_micromedido_economia,indice_coleta_esgoto,indice_tratamento_esgoto,indice_consumo_agua_faturado,indice_extensao_agua_ligacao,indice_extensao_esgoto_ligacao,indice_consumo_agua_per_capita,indice_atendimento_urbano_agua,indice_atendimento_agua_esgoto,indice_volume_agua_economia,indice_faturamento_agua,indice_participacao_economia_agua,indice_micromedicao_relativo_agua,indice_esgotamento_agua_consumida,indice_atendimento_esgoto_esgoto,indice_perda_distribuicao_agua,indice_perda_linear_agua,indice_perda_ligacao_agua,indice_consumo_agua,indice_consumo_medio_agua,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_fluoretacao_agua,indice_consumo_energia_agua,indice_consumo_energia_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2012,2303105,CE,6630.0,1650.0,8321.0,8321.0,6630.0,18391.0,,,,23.77,,1.0,,0.0,,2226.0,,2418.0,,2232.0,,2226.0,2123.0,,2232.0,2123.0,451.94,451.94,278.0,278.0,346.0,404.15,0.0,0.0,0.0,0.0,254.0,25.22,451.94,3.0,,,,,,,,,1.0,100.0,65.15,89.43,18.92,10.6,,,13.2,7.1,,120.1,79.7,,17.2,81.08,95.17,100.0,,,34.85,24.13,187.12,65.15,10.6,36.05,,100.0,0.01,,641977.0,641977.0,,16704.0,0.0,658681.0,,655508.0,151866.0,308744.0,4.0,22172.0,26845.0,136943.0,562231.0,9039.0,675117.0,70017.0,14537.0,-16639.0,22065.0,69629.0,11765.0,52879.0,9116.0,-77.0,61918.0,,0.0,,63034.0,0.0,16200.0,0.0,79234.0,0.0,0.0,79234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2016,2303402,CE,6932.0,,8342.0,8342.0,6932.0,17549.0,,,,41.09,,1.0,,1.0,,4696.0,,5286.0,,4703.0,,4696.0,4500.0,,4703.0,4500.0,585.33,542.28,432.69,432.69,632.89,0.0,43.05,0.0,0.0,0.0,417.45,0.01,147.14,914.53,,,,,,,,,1.0,100.0,73.92,0.0,-8.13,7.8,,,11.4,7.9,,171.8,83.1,,10.5,108.13,95.7,100.0,,,26.08,10.18,90.32,73.92,7.8,39.5,,25.14,1.56,,1435648.18,1435648.18,,44947.95,0.0,1480596.13,,1456079.59,338749.71,587609.98,4.0,61824.2,477926.55,287037.18,1613579.67,0.0,1821181.09,148775.22,12274.71,-77116.44,58826.2,264023.49,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4628.29,136.09,0.0,4764.38,0.0,0.0,4764.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2304608,CE,3907.0,,3968.0,3968.0,3907.0,6763.0,,,,10.74,,1.0,,0.0,,1356.0,,1408.0,,1384.0,,1356.0,1269.0,,1384.0,1269.0,199.51,199.51,139.93,139.93,196.81,199.51,0.0,0.0,0.0,0.0,126.2,0.26,0.0,106.91,,,,,,,,,1.02,100.0,70.23,100.0,1.22,8.5,,,11.9,7.5,,98.0,98.5,,12.1,98.78,91.49,100.0,,,29.77,15.67,120.7,70.23,8.5,57.77,,0.0,0.54,,421780.95,421780.95,,11433.47,0.0,433214.42,,427413.65,124700.65,152697.23,2.0,22122.4,282537.08,147210.67,667300.86,0.0,734786.58,56600.87,8544.19,-43791.04,10884.85,97980.33,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3920.48,0.0,0.0,3920.48,0.0,0.0,3920.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2305332,CE,5346.0,7586.666666666667,6145.0,6145.0,5346.0,12130.0,,,,99.87,,1.0,,5.0,,3335.0,,3623.0,,3688.0,,3335.0,3564.0,,3688.0,3564.0,436.23,436.23,330.85,330.85,522.72,436.23,0.0,0.0,0.0,0.0,315.76,0.48,0.0,1243.03,,,,,,,,,1.11,100.0,75.93,100.0,-19.96,7.5,,,11.9,20.9,,170.7,87.0,,9.9,119.96,96.6,100.0,,,24.07,3.81,86.75,75.93,7.5,44.07,,0.0,2.85,,989351.77,989351.77,,37113.06,0.0,1026464.83,,795912.54,311892.69,455772.63,4.0,74338.46,568100.57,387600.0,1744284.31,0.0,1916775.72,145781.33,24675.3,-105307.33,26710.08,339104.68,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,195.55,106118.84,17878.49,0.0,21608.79,0.0,102584.09,124192.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2307502,CE,17776.0,14000.0,18122.0,18122.0,17776.0,31073.0,,,,41.05,,1.0,,3.0,,5923.0,,6343.0,,5984.0,,5917.0,5725.0,,5978.0,5719.0,1373.8,1373.8,681.0,682.0,888.0,1336.83,0.0,0.0,0.0,0.0,628.0,0.0,0.0,489.0,,,,,,,,,1.01,99.95,49.57,97.31,35.36,9.7,,,12.7,6.6,,107.5,98.1,,19.6,64.64,95.59,99.85,,,50.36,46.2,327.69,49.64,9.7,57.21,,0.0,0.36,,1590612.0,1590612.0,,37630.0,0.0,1628242.0,,1606224.0,352212.0,476429.0,6.0,60118.0,280848.0,498011.0,1583710.0,0.0,1760288.0,92550.0,44226.0,-91591.0,53653.0,315669.0,30375.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,9871.0,9871.0,0.0,0.0,9871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2016,2307635,CE,9668.0,,9668.0,9668.0,9600.0,19616.0,,,,21.1,,1.0,,5.0,,2246.0,,3339.0,,2246.0,,468.0,2081.0,,468.0,434.0,443.75,345.6,20.16,294.91,301.85,345.6,74.0,0.0,0.0,0.0,20.16,24.15,0.0,,,,,,,,,,1.0,20.84,4.8,77.88,28.06,3.6,,,11.2,6.3,,69.1,99.3,,16.5,71.94,92.65,6.84,,,29.72,16.19,152.1,70.28,10.9,59.61,,0.0,,,289708.77,289708.77,,371.72,0.0,290080.49,,289708.77,160729.46,297063.06,13.0,0.0,2381.66,119136.65,534847.56,0.0,534847.56,0.0,0.0,1863.35,0.0,114402.84,0.0,0.0,0.0,0.0,0.0,,36848.2,0.0,36848.2,0.0,0.0,0.0,36848.2,0.0,0.0,36848.2,,,,36848.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2311231,CE,2352.0,,2788.0,2788.0,2352.0,6318.0,,,,9.98,,1.0,,0.0,,1039.0,,1096.0,,1040.0,,1039.0,999.0,,1040.0,999.0,126.16,126.16,86.88,86.88,138.81,126.16,0.0,0.0,0.0,0.0,80.97,0.32,126.16,171.48,,,,,,,,,1.0,100.0,69.04,100.0,-10.31,7.1,,,11.3,8.5,,99.1,84.4,,10.3,110.31,95.8,100.0,,,30.96,11.87,104.34,69.04,7.1,37.23,,100.0,1.36,,269947.49,269947.49,,10038.6,0.0,279986.09,,267365.22,115602.3,95698.89,1.0,53350.09,100725.35,154058.78,499504.14,0.0,552141.45,44236.19,12147.85,-33429.2,8401.12,116952.38,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4167.9,0.0,0.0,4167.9,0.0,0.0,4167.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2312106,CE,4762.0,11000.0,8981.0,8981.0,4762.0,17479.0,,,,39.93,,1.0,,2.0,,2095.0,,2258.0,,2102.0,,2095.0,1966.0,,2102.0,1966.0,439.53,0.0,239.64,239.64,321.83,0.0,439.53,0.0,0.0,0.0,215.89,0.15,0.0,31.24,,,,,,,,,1.0,100.0,54.54,0.0,26.75,9.5,,,12.7,17.8,,138.7,53.0,,17.4,73.25,93.52,100.0,,,45.46,13.7,260.84,54.54,9.5,27.24,,0.0,0.07,,831481.5,831481.5,,22917.13,0.0,854398.63,,1605516.31,302986.84,282781.77,4.0,7039.71,60707.06,134848.79,615637.83,0.0,837556.3,196208.36,23397.5,-34167.01,25710.11,141030.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2307502,CE,12490.0,14000.0,18132.0,18132.0,12490.0,31090.0,,,,41.0,,1.0,,1.0,,5469.0,,5861.0,,5535.0,,5469.0,5292.0,,5535.0,5292.0,847.0,0.0,642.0,642.0,820.0,847.0,847.0,0.0,0.0,0.0,593.0,1.0,847.0,514.0,,,,,,,,,1.01,100.0,75.89,100.0,3.07,9.9,,,12.6,7.1,,141.5,68.9,,13.0,96.93,95.59,100.0,,,24.11,13.63,104.35,75.89,9.9,40.17,,100.0,0.61,,1271596.0,1271596.0,,55597.0,0.0,1327193.0,,1344377.0,271528.0,445098.0,6.0,41767.0,143962.0,192098.0,1146467.0,0.0,1335202.0,92205.0,37501.0,45878.0,94557.0,240163.0,1973.0,0.0,0.0,0.0,0.0,,,,0.0,73681.0,0.0,7845.0,61579.0,19947.0,0.0,81526.0,,,,,,,,,,,,,,
2010,2310308,CE,9188.0,11292.0,14106.0,14106.0,9188.0,31309.0,,,,35.0,,1.0,,0.0,,4284.0,,4524.0,,4347.0,,4094.0,4014.0,,4156.0,3848.0,626.0,626.0,422.0,458.0,613.0,626.0,0.0,0.0,0.0,0.0,385.0,2.0,0.0,201.0,,,,,,,,,1.02,93.33,67.63,100.0,1.76,8.8,,,12.0,7.9,,137.4,65.1,,12.2,98.24,92.39,92.14,,,26.6,12.99,108.49,73.4,9.0,29.35,,0.0,0.32,,892575.0,892575.0,,35033.0,0.0,927608.0,,949622.0,161042.0,222348.0,3.0,57008.0,151742.0,242218.0,959528.0,10120.0,1111852.0,58355.0,20940.0,43445.0,73168.0,221827.0,10681.0,11814.52,9520.74,599.26,21934.52,,,,0.0,60218.0,0.0,27250.0,87468.0,0.0,0.0,87468.0,,,,,,,,,,,,,,
